seed_city,seed_country,search_keyword,waqi_uid,aqi,station_name,latitude,longitude
Los Angeles,United States,los angeles,13231,52,"North Hollywood, Los Angeles, California",34.18198,-118.36304
Los Angeles,United States,los angeles,14727,63,"21 de mayo 2, Chile",-37.471182288689,-72.36146284977
Los Angeles,United States,los angeles,444,30,"21 de mayo, Chile",-37.471182288689,-72.36146284977
Los Angeles,United States,los angeles,8511,30,"Los Ángeles Oriente, Chile",-37.463035064801,-72.324575155457
Los Angeles,United States,los angeles,247,-,"South Long Beach, Los Angeles, California",33.7924,-118.17525
Los Angeles,United States,los angeles,13067,-,"Lancaster-Division Street, Los Angeles, California",34.66959,-118.13068
Los Angeles,United States,los angeles,244,-,"North Long Beach (Long Beach), Los Angeles",33.82376,-118.18916
Los Angeles,United States,los angeles,241,-,"Burbank, Los Angeles",34.17599,-118.31701
Los Angeles,United States,los angeles,246,78,"Santa Clarita-Placerita, Los Angeles",34.38337,-118.52839
Los Angeles,United States,los angeles,242,85,"Glendora-Laurel, Los Angeles",34.14437,-117.85038
Los Angeles,United States,los angeles,11798,72,"puebla de los angeles; Velódromo, Puebla, Mexico",19.115858055556,-98.277487222222
Mexico City,Mexico,mexico city,400,55,"Tultitlan, México, Mexico",,
Mexico City,Mexico,mexico city,407,84,"Pedregal, México, Mexico",,
Mexico City,Mexico,mexico city,410,54,"FES Acatlán, México, Mexico",,
Mexico City,Mexico,mexico city,411,61,"Hospital General de México, México, Mexico",19.411617,-99.152207
Mexico City,Mexico,mexico city,8528,53,"Tlalnepantla, México, Mexico",,
Mexico City,Mexico,mexico city,8866,49,"Miguel Hidalgo, México, Mexico",19.40405,-99.202603
Mexico City,Mexico,mexico city,3315,57,"UAM Xochimilco, México, Mexico",,
Mexico City,Mexico,mexico city,406,78,"UAM Iztapalapa, México, Mexico",19.360794,-99.07388
Mexico City,Mexico,mexico city,402,42,"Xalostoc, México, Mexico",,
Mexico City,Mexico,mexico city,5867,37,"San Agustín, México, Mexico",,
Mexico City,Mexico,mexico city,3312,57,"Camarones, México, Mexico",19.468404,-99.169794
Mexico City,Mexico,mexico city,409,57,"Tlahuac, México, Mexico",,
