date, pm25, pm10, no2, so2
2022/6/22, 72, 37, , 
2022/6/23, 81, 57, , 
2022/6/24, 126, 27, , 2
2022/6/25, 61, 36, , 5
2022/6/26, 74, 38, , 3
2022/6/27, 55, 32, , 4
2022/6/28, 62, 65, , 5
2022/6/29, 104, 65, , 2
2022/6/30, 122, 65, , 
2022/1/3, 48, 24, , 1
2022/1/4, 53, 25, , 
2022/1/5, 54, 29, , 2
2022/1/6, 67, 29, , 1
2022/1/7, 66, 25, , 1
2022/1/8, 58, 26, , 1
2022/1/9, 50, 31, , 
2022/1/10, 47, 40, , 1
2022/1/11, 82, 25, , 2
2022/1/12, 66, 37, , 1
2022/1/13, 88, 24, , 5
2022/1/14, 51, 22, , 1
2022/1/15, 42, 23, , 1
2022/1/16, 42, 19, , 1
2022/1/17, 41, 38, , 1
2022/1/18, 78, 38, , 3
2022/1/19, 83, 31, , 7
2022/1/20, 63, 31, , 5
2022/1/21, 53, 29, , 8
2022/1/22, 46, 23, , 10
2022/1/23, 42, 37, , 7
2022/1/24, 65, 47, , 5
2022/1/25, 80, 42, , 3
2022/1/26, 74, 29, , 3
2022/1/27, 47, 24, , 1
2022/1/28, 43, 20, , 6
2022/1/29, 44, 17, , 2
2022/1/30, 43, 21, , 1
2022/1/31, 39, 30, , 1
2022/2/1, 52, 42, , 1
2022/2/2, 71, 48, , 1
2022/2/3, 91, 24, , 3
2022/2/4, 56, 19, , 5
2022/2/5, 46, 17, , 10
2022/2/6, 34, 38, , 21
2022/2/7, 56, 33, , 2
2022/2/8, 66, 45, , 2
2022/2/9, 94, 38, , 1
2022/2/10, 81, 44, , 1
2022/2/11, 87, 39, , 1
2022/2/12, 68, 35, , 1
2022/2/13, 64, 51, , 3
2022/2/14, 88, 34, , 7
2022/2/15, 56, 41, , 1
2022/2/16, 76, 51, , 2
2022/2/17, 101, 40, , 
2022/2/18, 85, 26, , 
2022/2/19, 57, 30, , 
2022/2/20, 57, 39, , 
2022/2/21, 71, 46, , 1
2022/2/22, 81, 46, , 1
2022/2/23, 93, 49, , 1
2022/2/24, 97, 44, , 2
2022/2/25, 83, 50, , 1
2022/2/26, 103, 44, , 1
2022/2/27, 95, 39, , 2
2022/2/28, 89, 47, , 
2022/3/1, 93, 41, , 
2022/3/2, 84, 53, , 
2022/3/3, 101, 51, , 
2022/3/4, 100, 44, , 3
2022/3/5, 97, 26, , 3
2022/3/6, 50, 35, , 
2022/3/7, 60, 37, , 1
2022/3/8, 71, 37, , 3
2022/3/9, 88, 68, , 3
2022/3/10, 137, 44, , 8
2022/3/11, 85, 41, , 2
2022/3/12, 89, 50, , 1
2022/3/13, 101, 38, , 
2022/3/14, 79, 22, , 3
2022/3/15, 52, 28, , 10
2022/3/16, 53, 22, , 6
2022/3/17, 48, 23, , 1
2022/3/18, 57, , , 
2022/3/25, 40, 24, , 
2022/3/26, 51, 27, , 
2022/3/27, 54, 38, , 
2022/3/28, 74, 39, , 
2022/3/29, 66, 39, , 
2022/3/30, 65, 45, , 
2022/3/31, 72, 60, , 
2021/10/1, 64, 40, , 1
2021/10/2, 97, 40, , 3
2021/10/3, 62, 40, , 1
2021/10/4, 81, 35, , 1
2021/10/5, 70, 42, , 1
2021/10/6, 81, 33, , 2
2021/10/7, 66, 29, , 1
2021/10/8, 68, 35, , 1
2021/10/9, 67, 32, , 6
2021/10/10, 60, 38, , 4
2021/10/11, 66, 42, , 2
2021/10/12, 67, 44, , 2
2021/10/13, 67, 52, , 2
2021/10/14, 86, 67, , 3
2021/10/15, 123, 69, , 1
2021/10/16, 125, 27, , 2
2021/10/17, 32, 37, , 5
2021/10/18, 63, , , 
2021/10/20, 74, 51, , 1
2021/10/21, 90, 41, , 1
2021/10/22, 78, 38, , 1
2021/10/23, 57, 44, , 7
2021/10/24, 58, 29, , 3
2021/10/25, 55, 27, , 1
2021/10/26, 65, 32, , 1
2021/10/27, 67, 26, , 1
2021/10/28, 51, 29, , 1
